2222 45693
18 759 4706
1642 2118 5567
1058 1989 3042
425 1631 2473
785 1089 4327
2134 604 7695
69 1226 3369
1666 2140 910
1904 915 919
1150 1648 3085
1232 1414 8687
492 798 8085
396 1631 6135
1369 1322 4395
1121 1106 7754
575 326 157
277 1344 3155
1611 288 6644
95 72 3971
614 1136 5148
925 186 8427
1292 1164 9624
1477 599 7942
1295 650 2711
333 684 3124
1577 2155 2175
431 280 3219
1725 550 1556
576 1913 7278
490 1146 9248
1373 2174 7956
773 2111 9495
775 1602 1020
532 304 150
1445 462 4023
1657 669 1501
476 27 4554
964 2036 9319
41 1839 2509
1603 735 6289
2183 852 5247
1895 581 6634
166 1431 3832
1408 452 7249
616 734 7977
641 639 668
390 575 9771
49 1312 3747
375 1161 7792
1735 78 9493
1643 1172 7715
1227 1265 9986
798 375 3595
2019 977 373
319 1641 5019
161 1506 2663
1599 2222 488
1411 1573 990
379 2028 9349
1745 1252 3902
387 295 7888
495 2019 3365
216 419 9436
1636 171 350
2013 1130 2079
1776 1188 8674
1364 41 2365
182 1464 2652
492 984 6826
294 650 4776
791 424 2574
140 1888 4453
661 557 5522
1945 1949 9978
468 1138 798
906 527 1790
1200 454 4413
215 1000 2340
247 250 1604
479 1815 9570
385 247 3420
2193 2174 2314
1793 1 9659
694 1847 3424
2000 487 1151
360 1671 809
1251 1750 3554
122 1391 5606
1107 1045 5341
875 470 575
1564 1377 6762
1536 694 6870
894 713 4489
2004 2124 8656
1604 2031 4288
2150 1943 9452
479 1854 1031
1706 1127 6527
208 1142 355
1740 532 4160
481 1986 9301
1380 653 5742
1442 1413 1782
708 1636 5111
33 1656 5709
578 1337 8763
2082 360 6446
94 1108 9977
1315 1546 4718
1307 1700 8288
1755 371 6463
843 1010 8150
1314 540 5843
661 2144 7311
126 1142 9097
1689 1209 2690
163 794 8276
56 401 7823
54 1404 8104
428 1723 4929
2156 1429 5809
1733 258 8415
999 1081 3039
1909 382 3737
934 1058 2677
174 560 8365
628 98 5774
890 1025 3196
276 326 7392
106 1454 8058
1439 218 5474
246 759 6391
1340 491 1654
598 978 6052
1169 905 1560
1798 1278 6669
1653 1002 9845
1189 677 6067
1671 85 1934
528 1035 8173
1146 1941 6171
618 538 6828
2004 133 2469
1900 122 7275
1996 86 8144
841 587 3675
2186 484 4002
1806 256 5825
1534 1189 9396
1047 521 3348
873 1441 6673
1094 1348 6899
1872 681 983
981 702 4580
1504 222 7399
1314 787 8096
435 2198 8948
1165 258 4777
1799 918 8826
873 1333 9293
21 1129 2534
592 1954 6726
1907 1600 6533
2188 1943 7329
983 1201 283
1090 1718 9738
1294 26 4080
197 1429 2329
786 277 3084
2068 1387 6564
198 316 5925
717 1593 8754
216 1960 8070
838 1086 2558
929 2141 5142
1985 581 2230
338 706 9450
1366 1080 8043
138 1662 9299
2028 2169 5548
149 1387 3432
937 2020 3414
1132 344 1007
191 378 5431
1260 139 8707
881 1457 4801
978 1359 9899
2062 589 2258
1220 1711 2117
1940 1111 5006
584 785 1139
1485 238 910
163 170 6331
995 1176 918
1356 1509 3804
111 157 5345
322 764 8803
1168 686 1564
1537 570 5032
1050 1171 8356
326 863 1448
2035 1993 8628
911 1862 8825
1697 1237 1712
1625 2005 1960
1710 304 350
310 2048 8234
368 1122 8941
1233 299 4164
1747 1931 2737
2181 883 4755
1127 1801 5648
1630 1755 9487
743 49 734
1601 1837 3668
327 1692 7783
1481 2080 9562
1476 1967 1770
1048 1919 385
89 2146 7739
1620 1314 4227
448 893 1712
135 778 676
1845 262 9674
2100 275 9813
350 867 1017
39 2064 2474
54 934 2407
660 910 6514
640 2090 1600
937 1458 9051
2220 2163 3400
1874 657 2677
185 106 4223
2107 918 5845
2040 363 2275
1289 2193 6620
742 896 1208
1762 1220 1948
1259 350 6797
517 126 8075
1255 2068 7545
68 287 5632
1008 79 1000
1638 1290 8354
1031 323 4695
491 791 2825
68 417 399
769 2080 6344
847 693 3805
663 1433 7975
1935 1060 4248
313 969 473
295 1706 9241
229 407 3066
130 1742 3981
2102 534 146
748 1769 4332
1087 1394 7240
795 1045 3360
1168 940 4101
234 2045 1444
154 475 2614
518 2064 243
1467 1789 6383
1960 946 5088
750 572 423
346 1869 1736
119 2074 1903
1850 1663 5224
1991 900 5064
913 1041 5810
1264 687 2969
326 501 9070
546 1487 8148
723 1411 9152
495 1101 1600
320 134 2141
290 1848 2860
1662 1467 8139
3 2039 7705
861 1471 2996
160 1015 8535
814 1951 452
1626 1516 4883
2125 943 2135
2049 1645 5999
2132 1005 5268
1022 407 9821
606 1203 2090
2177 1726 4453
95 1870 1735
893 146 8616
1959 1411 5251
535 511 6196
1588 1877 4367
979 442 4098
120 1747 5204
737 707 6969
498 829 1562
1170 921 1420
1650 744 8378
956 337 8218
1841 433 3465
929 2202 1163
2001 718 5037
842 1976 7740
870 428 2757
269 583 130
1032 1420 5036
2083 1109 9127
1403 839 1478
1599 484 2777
253 2156 2460
668 246 4846
1633 2145 4171
12 392 1278
265 1496 485
247 502 4658
1234 727 7641
607 1990 4289
599 756 7089
1324 1632 5420
493 1057 7961
149 1160 8982
1559 729 1946
1184 1797 8833
474 527 6217
1006 1140 9306
1438 326 4534
823 1439 5751
846 1437 9750
1992 1531 4496
842 1520 874
23 146 5135
1027 1571 1676
1507 318 7197
732 1946 4289
1795 2174 9204
1109 671 3507
2172 1174 9351
765 1852 9056
1163 621 1513
618 1316 5662
443 1579 9332
1596 367 9232
157 804 2439
1233 1852 9562
543 1832 2838
1803 1134 5103
1052 587 2412
873 2209 4825
399 342 8684
576 1634 7883
184 1309 9880
1626 1722 3569
1676 36 2827
2020 1338 3667
1007 1807 681
447 744 9901
1533 1605 4692
1168 880 3860
949 1780 3359
1590 1691 8663
1923 1018 3366
743 348 8277
1791 1211 7282
188 686 8391
1972 1455 4059
613 374 3496
1274 1562 1752
1210 618 1156
2208 516 7689
45 2039 5494
1736 1492 1419
1754 1843 4446
1184 1122 3782
1355 1892 9357
825 1959 5648
1951 960 3804
520 549 3990
797 2078 7969
1878 698 8507
1053 529 1775
1848 1877 7209
1966 2158 8900
2070 285 646
1006 2141 1339
450 1550 7412
1818 1162 4043
938 1121 6217
219 327 3815
884 490 314
1004 115 7368
1327 1750 2459
1239 1205 2537
438 1915 3291
2056 441 405
252 577 943
857 1439 5528
364 1941 4002
46 33 1436
534 736 1363
1812 565 1222
715 1776 6292
1120 1591 7736
1526 1861 6603
38 1317 8497
674 696 9308
1774 1861 5103
992 938 8387
33 2019 4430
1970 1480 6187
1821 1088 6263
144 253 4538
343 1540 3737
666 999 4324
1843 693 4393
1800 848 2050
2018 1702 6980
2069 575 4589
712 1123 9055
2221 769 5308
434 1690 7715
2179 1669 1705
162 1144 6334
1134 2196 9977
2043 262 9993
1854 1425 5083
1742 1569 8568
1478 954 5011
2106 714 7210
1358 145 108
2051 37 6345
918 1395 755
1138 936 1413
718 1958 4677
1955 1470 4708
845 1395 3092
1482 1807 4740
563 159 288
1674 215 6129
1208 105 557
84 445 4395
2103 17 7072
931 1632 6141
760 1343 8037
686 1185 7010
1302 1289 7785
1676 427 8182
1930 2025 4023
1801 343 8504
319 1692 5265
282 1109 2314
1140 2057 4110
1396 1060 3469
1817 208 5245
2075 1609 4083
781 1098 3619
1612 1388 802
661 1611 7969
1083 624 7849
698 114 7545
602 2214 6921
2071 947 3398
1409 1920 6252
237 211 2178
953 549 5916
1694 158 2263
1308 2136 6181
1869 2137 2242
1881 430 1299
1473 449 5935
1200 787 896
326 213 9306
1891 913 9551
719 1766 5298
76 172 7392
1981 308 9320
42 1225 9989
1247 962 9699
724 2072 4663
1825 1809 4579
1867 12 1729
771 1057 8029
2005 2155 232
1349 1340 3835
1635 735 5088
113 97 8050
1193 2015 1219
617 2185 2229
840 1464 9553
2024 1811 4745
414 736 4900
1324 1783 8461
1826 69 2256
447 1469 8925
1978 972 9665
774 315 2300
199 1490 6535
905 1260 3031
241 1044 7751
1306 1228 2178
1018 1633 5275
1078 949 1861
1683 1523 2152
619 2093 1190
482 967 5751
787 1214 6844
1420 625 1483
943 1053 4624
2152 923 2400
1259 357 2272
19 1043 6423
2023 54 8864
1804 1497 6189
1643 1119 6204
382 709 2421
1674 658 3808
1043 962 5962
321 2185 549
1545 929 3082
314 346 29
884 1980 5201
1695 2193 5504
859 2059 8214
2107 761 3819
624 1921 4124
936 882 9163
1269 1178 7492
1340 778 4511
2002 345 1683
1289 1549 3361
412 1459 9446
236 1899 3423
1691 319 454
710 163 9087
1598 2214 4420
388 1127 6620
209 2144 6462
1194 865 763
2180 386 3193
1338 756 8728
475 2015 4541
670 1006 7915
1126 395 5011
1692 483 5675
496 1323 3512
64 634 1899
952 2131 3869
947 1186 1576
760 642 901
551 780 9920
1768 2189 7347
1128 2220 3733
212 294 2238
1751 348 2706
750 1083 8233
1805 1553 4352
1843 503 3418
1214 1002 4638
747 1725 9776
1969 1194 2357
1392 919 2219
2100 530 2992
1393 2201 478
1281 782 7973
2067 1307 3521
1847 2071 4759
63 1546 8273
1635 839 4265
1764 930 17
784 1711 6298
113 983 232
2046 2021 3053
515 1008 4042
841 1942 4864
1885 1312 8182
297 1265 3248
695 617 8093
971 307 8485
920 563 1405
798 1807 7311
608 1110 799
173 892 1760
193 89 7627
1110 1686 8970
750 251 6805
267 568 3066
1547 820 2907
1512 469 5591
1686 1813 2260
900 2085 9008
1853 186 962
2188 2015 4059
1926 313 3388
1824 1930 6465
1399 663 2092
763 1744 3504
401 1014 4663
115 2019 6410
919 832 7547
1045 1918 3961
289 1236 5611
629 1098 1318
772 1174 900
1581 998 4185
1407 498 8033
969 1568 939
1813 1747 430
627 1842 9802
206 11 4712
46 651 4535
1036 221 9231
1979 1447 8786
1220 632 3042
1296 332 7074
1909 2220 8029
555 1606 3224
757 1949 5233
364 1249 6196
1130 9 9303
350 1564 2236
1534 1097 9895
545 1453 4223
1348 1539 7269
2033 1550 45
1937 947 4417
395 1289 9439
852 2117 7499
2163 645 9261
1090 2006 2086
1488 1722 4533
2049 1455 6045
558 1434 2536
1269 1022 8936
1960 1635 2122
1197 1916 7975
1233 590 7754
1894 1820 3647
1434 1848 7272
350 1117 6340
161 1187 1607
1636 468 2086
1903 2095 2669
775 1867 2401
1243 1751 9820
878 2186 4539
1541 702 7488
1444 1473 70
422 9 1851
1207 405 367
1143 1031 6413
131 2078 4312
577 1055 8716
1247 914 8687
1335 1937 9189
962 334 1655
813 840 1431
1736 1948 5158
1616 1408 7382
2076 1643 8022
2004 729 8839
1652 2156 1049
1402 970 3154
878 525 4484
267 2051 8017
781 410 3733
2064 1167 3619
53 443 4302
862 317 6507
235 1123 3120
138 2204 6531
50 1818 1703
1878 562 9313
815 1977 7010
331 780 7025
547 1088 8414
1712 1158 7545
1464 1137 8614
976 1666 8632
457 1558 7970
456 1615 8606
1505 1742 314
332 2097 3185
1929 895 2365
1650 1215 5746
2066 1737 6520
826 1565 3920
1492 475 5473
536 1041 7061
1695 2220 9576
1820 460 1843
389 336 2811
1494 1206 9114
997 1392 2091
695 681 9550
359 1754 3276
1978 407 2162
1645 2014 5805
1737 1359 7229
1712 1967 7302
1975 1126 8201
1603 2000 5328
1135 778 5704
1638 1470 9329
1318 1854 3700
1122 766 9032
1021 1252 242
306 706 6754
2193 703 9365
2151 1094 4639
985 941 7012
397 1480 9692
2067 88 8430
375 964 8495
1995 2038 5563
1586 257 3983
1405 987 6730
718 2197 254
2017 45 26
653 1514 4082
349 1360 5138
374 1903 1554
1297 1585 4498
2091 1068 166
404 863 7139
1693 2175 2154
2220 762 2086
938 437 1904
1500 932 5957
1912 1692 9309
464 1865 8339
1914 1228 4044
1297 1034 4755
313 1636 9010
887 1754 7000
1943 2005 8271
736 724 3434
1425 1608 7815
968 78 27
1161 50 2129
475 928 6934
158 433 7469
762 355 8958
1543 1377 5697
1665 2025 751
1379 2024 9847
1170 1802 2770
1403 2129 417
1580 1059 9311
595 1693 5398
1279 808 4275
1038 463 8709
1691 2207 494
1171 415 1098
1016 1196 5072
829 256 8273
1957 1105 9717
320 479 7133
767 1970 257
2091 454 2988
1083 1407 1554
96 694 9844
2051 131 1562
1730 1690 292
1551 2144 7473
1036 2118 3435
1113 1691 6661
1622 1110 4693
1600 964 8771
208 1234 2644
325 988 7188
700 590 1171
1522 1673 5488
1949 2181 8068
512 1288 28
1231 1313 3640
1235 471 9791
1476 2144 162
783 648 7526
1892 244 1844
969 460 4686
2176 1933 3508
1412 182 2903
384 1865 391
166 1132 3493
114 994 7168
746 196 4184
879 2104 4005
2158 993 589
1348 1783 5764
1676 2026 7160
318 813 3582
317 2215 870
369 117 5051
938 1952 4486
1724 217 8960
1267 2140 3869
2009 829 9493
182 1617 499
455 897 547
193 368 4707
2018 351 2218
1492 1920 7501
497 955 5256
1670 2021 8482
396 771 8611
974 2104 7406
1774 214 4198
771 1833 402
940 159 9932
513 1839 2620
1336 236 7017
1118 1614 4273
1297 508 3906
304 211 2466
1259 2115 3840
116 782 4889
251 954 3853
1885 1584 4276
701 550 3082
214 909 6035
1551 1860 8962
921 485 5625
1775 175 7702
371 910 3602
257 982 3520
164 1955 4153
716 1507 3309
1370 1525 3458
330 2207 4413
1935 1342 4639
2108 1830 5653
372 1584 7110
888 1528 3252
1779 434 8032
1434 1206 2060
2132 797 6248
346 1969 6134
1584 542 4945
679 441 1398
2211 348 4578
37 98 2178
251 1589 6367
1189 2038 1276
373 1637 3716
1451 1709 458
41 1838 1441
1536 1885 6891
1207 750 374
753 1541 4604
1618 930 8497
752 373 9069
1916 488 1381
991 1618 6401
1276 2118 9792
975 916 8638
279 1350 1282
480 1079 1294
1862 471 7200
1091 1911 2902
244 1370 5500
2203 1114 8029
1936 577 2147
2041 568 4199
425 398 9448
1043 196 2447
1407 1378 1689
1520 1624 1756
2103 1148 2607
513 1601 3561
108 817 224
478 2046 5094
1293 1878 8973
1332 1450 9264
1226 247 6236
760 2178 8746
1945 600 4674
165 250 2330
1222 798 1599
1849 1276 9939
1111 364 2088
443 1142 6314
217 2114 5291
1540 1755 7001
1857 1467 9660
843 1608 2623
2099 1643 9034
2011 2020 3508
820 831 6706
305 1740 2722
968 630 7127
2119 555 4392
2128 1109 2521
1220 337 9155
552 1898 4061
215 675 8949
1245 1321 6581
836 1109 903
987 600 502
1189 529 7459
125 218 850
495 1362 8120
553 384 9015
2093 1260 320
676 204 9070
775 1377 5841
2170 299 1584
1235 1117 2575
55 926 3543
1578 858 8316
857 1990 6024
729 461 2534
723 622 6907
986 101 6610
1489 791 2653
799 1409 7322
1767 480 8759
2141 68 1415
1351 1515 2850
981 553 7138
848 1558 7614
1993 1335 1320
53 708 249
1902 866 2926
611 2045 722
406 1047 8090
1151 1488 4537
123 2204 1931
837 67 8505
189 1919 727
768 761 3569
1841 253 7070
1612 1820 6638
404 45 1520
88 1842 5779
1908 1620 4977
537 2044 3200
799 1363 5010
327 1576 4725
73 172 9222
95 2177 4400
592 175 1262
306 747 3433
1927 598 7294
620 132 7419
309 43 9602
568 146 7092
1299 759 2061
1785 1240 1711
1410 1103 3493
1921 416 8868
232 364 9845
1350 1495 6594
2016 58 3755
2135 1271 2851
1577 955 7765
1759 2163 9814
1566 1474 9118
1966 631 6801
890 1475 9781
1264 522 3984
1503 1824 7292
1615 1578 3399
922 1564 6568
1451 1387 7615
28 1474 3579
1343 154 4847
265 1321 229
136 2046 9297
1679 173 6431
1134 884 3111
1480 513 8059
803 1246 7609
430 191 6699
1026 401 9292
71 2137 5688
1530 966 7412
992 249 260
1513 627 60
1666 803 7085
310 708 4835
2186 27 4277
1555 1012 1693
1118 552 7833
717 1654 8346
585 697 8648
1563 1115 9346
1046 490 5560
1703 1053 1486
2116 589 4555
752 1514 9715
1423 1436 31
339 177 5206
57 1464 4626
449 1321 7044
287 792 1181
67 1217 752
1378 381 5735
1139 1032 3175
336 251 3816
19 735 3500
638 2056 3059
1281 1590 2676
740 1327 8538
1188 338 893
2104 2114 2383
1819 1159 3248
1335 2059 1264
257 1213 5586
1926 2183 772
629 1953 2865
929 1797 7543
804 1607 9708
246 1456 7668
30 1787 6871
654 968 4778
596 1980 6818
2009 1957 8363
1770 1905 1631
739 213 1619
685 994 2025
1187 1728 6893
369 650 6763
1398 834 8404
1161 1466 8679
1927 267 8341
1690 1839 2788
1496 1839 8826
256 183 1950
302 1487 7999
1442 1987 8247
2135 693 3382
351 113 4076
993 2072 1723
148 1877 6742
1146 277 8081
1253 1363 9720
1874 621 3943
1618 1124 5230
1808 275 5554
2204 1547 1889
1164 600 943
617 1008 3391
1023 1716 3030
1789 208 1225
249 263 8028
750 487 48
1913 543 9684
1972 1925 5111
455 767 335
1527 1953 2169
1863 1098 3427
128 1215 609
1115 1887 2624
1454 2097 1187
1636 2199 6242
1633 501 7023
250 880 752
1926 121 9875
2085 49 1418
1665 1090 4180
1774 671 3087
1195 356 3084
1608 361 7179
1362 1248 1791
1407 600 3266
486 1213 3402
682 835 2249
168 1646 5559
1894 805 7773
953 723 1396
1248 866 6970
1179 1740 6542
393 1212 7985
237 423 2369
1480 1076 8646
422 461 2324
1049 1913 1947
1344 697 420
1040 902 1331
1416 701 6195
1844 1453 4913
499 1583 6491
366 1919 4723
1575 769 6466
2005 1571 2273
188 52 2745
1966 1153 691
846 2005 3482
1824 658 1647
1681 1839 4732
1923 623 3994
1040 1979 9774
1738 1561 2243
540 534 4513
1021 1364 6675
323 1992 6528
868 347 54
661 118 3052
132 1219 6336
559 1248 2630
589 550 6399
410 859 8876
151 1164 7780
1174 2221 9107
2214 471 9286
1464 970 6868
252 2134 9428
1182 531 8313
10 608 9836
1880 853 7613
1612 1827 4531
1649 1947 2755
1019 1507 3676
1849 133 3072
940 528 4671
74 1256 1721
1597 1594 2107
1317 360 5880
1898 1563 7732
1693 1474 9092
1925 2221 9488
555 1658 3756
1958 1654 8869
37 36 8553
1848 541 2696
526 236 5842
1246 1377 1130
1084 268 3883
649 1813 3984
256 1592 616
1640 55 305
1161 147 6048
339 1966 1080
1493 329 1173
2137 148 9484
316 362 6605
1773 1803 8345
2033 1804 8740
1703 774 7019
703 2188 581
617 12 2027
1063 918 7337
265 117 3791
656 1845 6084
809 715 621
1454 2014 9813
892 1827 7588
1011 945 1073
1718 123 2058
1749 2110 1404
1717 892 4322
128 1492 3514
1898 297 3789
2025 513 4479
669 1180 9495
980 1325 3617
1838 519 2216
225 406 4684
1221 997 3003
129 1248 28
1951 578 1999
1044 1125 6297
722 1799 4201
1505 1234 6706
653 984 532
2032 1276 3304
872 76 7341
28 441 3304
659 886 3559
1627 378 413
233 1012 664
1788 871 6372
1918 1246 9172
1539 1729 451
1244 606 4325
1232 1053 7616
1206 243 7472
1474 440 7062
1432 262 4110
1255 879 4727
1092 500 839
2016 1916 4684
105 524 7802
1738 258 9989
2024 1266 9606
720 1344 8232
1095 650 8065
1023 985 5330
519 1161 9023
578 888 4205
1648 1095 5264
1405 234 6163
793 68 9382
1434 2059 100
1547 1036 5858
403 1909 5907
737 1263 358
89 892 8187
985 2008 8723
523 266 3886
1821 160 4098
2118 1201 7956
392 2049 1459
587 1759 4598
1301 2210 2272
198 1253 7940
1573 1245 2896
151 1291 1527
1117 324 4204
1392 1494 8617
519 683 4214
1837 246 1123
1633 428 398
953 143 3109
254 1491 3838
483 1231 1472
1915 1401 2015
1551 1826 8850
1956 14 1737
2064 1649 965
1970 1832 8934
748 213 5219
1101 1025 7695
55 1593 8637
815 281 3139
1935 1168 7585
1631 466 3696
1608 37 1995
749 360 1022
933 121 8671
2149 626 5823
530 1570 1012
554 2064 470
17 1051 2381
1669 898 542
190 2196 6739
777 588 2832
1256 1969 6704
2134 2078 258
1155 451 1422
1417 112 7491
1706 210 5930
390 313 316
484 327 1486
271 836 5573
1577 1509 4766
1789 1451 7976
1730 1889 5477
492 1656 7374
1286 2012 5187
1983 1439 1438
894 992 4672
2153 1700 2622
154 1026 3314
1339 1277 4667
1942 2146 8596
1975 1276 9876
1828 2177 1410
350 993 3363
968 664 2798
1851 1264 9541
194 1153 4311
642 580 8750
2016 1817 9179
2016 1546 6749
1584 533 8595
1008 513 2229
592 1621 9614
108 1257 6847
2209 1421 9340
2207 393 5775
123 605 9273
1979 2153 8396
2067 375 3989
1720 616 5476
1863 2013 4987
2189 237 5163
1220 2207 2017
2032 671 1268
997 1758 4080
803 2154 8285
2166 549 6697
1777 626 6493
1383 1545 5039
1938 2011 4962
785 534 8566
1608 1917 6688
1229 1186 6757
1222 1514 9765
494 572 2274
771 1982 7
1588 1910 1815
1091 1937 6407
653 2112 2960
297 1079 4654
1214 1719 4286
293 1813 5523
516 14 6259
214 1384 5587
2083 284 9012
1228 669 4471
2097 331 6548
776 1864 259
958 446 4754
652 1529 9140
235 1805 4293
847 1643 1546
1789 218 197
1575 135 9849
1681 1397 5018
768 2112 7983
1735 911 877
676 1635 8313
2081 711 9279
88 2203 3954
1486 125 4814
837 1773 9566
644 1879 6828
1333 134 9579
1904 281 6987
1555 1884 785
1763 2007 7036
2017 280 2392
656 852 8100
1207 320 7777
71 1235 6853
1628 1184 5754
1602 371 2153
858 1280 6805
426 580 6426
52 65 133
782 1381 5438
822 1886 1479
1124 47 6451
1456 430 4731
1757 1428 9799
2210 1211 7253
124 176 7046
1966 1492 3596
1148 2080 919
1725 1547 9934
1813 446 5558
233 1800 1044
1369 511 3113
1517 1606 2430
430 1930 1009
423 1449 5992
241 706 7112
587 1372 5743
1377 559 2127
490 1666 4518
834 2127 7314
317 835 2326
1441 1682 8158
1143 762 6977
566 1636 815
370 773 7582
618 487 1955
394 2103 1518
1571 725 5560
2140 1060 1325
594 1511 7602
1837 241 2167
2162 2001 43
1318 1514 7592
1782 165 3990
1235 2074 3185
1275 2006 5684
1638 113 8764
1296 1735 8771
1570 997 2308
1115 2001 6222
384 1874 8131
830 881 1233
284 1743 78
885 102 9183
1050 1493 4056
562 239 8683
841 814 3244
1556 539 938
226 1310 737
1504 1527 8604
1837 1326 6191
2015 699 1478
1343 296 5326
253 1668 6675
1932 1130 3183
1133 526 5829
1264 62 7451
1922 1908 6981
957 2096 1591
192 2100 8455
1226 377 7623
1998 1050 5497
2194 1867 5892
1654 958 8806
1088 1535 3400
1434 1727 5288
1017 146 9715
1482 1087 3
1219 64 2421
999 1274 9850
1480 425 8542
270 1093 9014
1534 716 214
701 1063 7318
948 56 8363
1907 1456 379
732 1277 3091
595 1334 7945
1839 193 3786
1712 856 6896
1716 31 3278
696 1310 5567
1676 18 6129
1042 1393 6628
765 982 5127
1220 2127 5255
410 1014 2605
909 956 7921
789 510 7075
284 131 2728
2213 1706 9535
701 1965 4307
387 261 6385
1245 743 9081
951 462 329
568 1556 7898
449 1882 626
2121 262 1654
23 332 9100
1776 1120 2402
2117 1320 3132
2084 463 2038
1385 137 5400
1242 548 1082
1958 2214 722
1479 1820 6401
572 1677 3318
979 1546 5050
1505 1357 282
1757 641 711
1188 1005 5229
905 45 7621
952 1518 8644
1066 1211 5731
538 64 632
359 1961 743
1412 2124 7211
470 963 3846
1088 234 1304
504 687 5969
976 1175 7107
737 368 9191
2122 586 7332
1598 55 7031
869 229 6806
906 800 1152
963 662 194
812 1083 6500
2125 1375 2867
1699 591 4779
2055 263 1880
1283 2012 2764
1817 1782 6317
1447 849 4147
614 1847 6092
840 1301 4663
1712 20 9220
2090 929 3823
1569 2212 3196
1473 716 6182
1879 432 11
1644 1715 6177
871 1848 6226
1412 947 2055
162 1867 6095
1698 1658 2933
1169 537 4704
484 1830 6203
1144 113 1191
1163 1027 812
1363 695 1452
1987 1035 95
1805 2194 614
1003 1070 1231
519 2160 8801
1305 271 2544
739 1344 209
477 1204 5208
2039 1181 4330
1619 279 3488
1796 385 9686
920 869 6036
1914 2009 3715
452 1989 8285
4 615 8771
2153 1324 4061
1903 2167 9446
511 2064 9786
462 1922 679
1024 637 4524
691 1534 8135
1157 2116 589
243 178 9409
1493 1342 4531
633 954 2725
1179 1832 6320
15 23 1338
1373 326 320
378 93 565
1385 2059 1196
1590 155 8504
1122 973 4900
2176 1955 1461
818 1909 1800
668 784 4232
987 1502 140
878 956 1074
1252 1617 2761
1550 1635 7456
1220 1751 3311
1386 1670 8110
1418 209 6985
101 1722 232
390 244 3581
1087 1424 6522
1542 700 9362
1739 1724 5036
606 1714 2560
935 912 3795
1570 177 2604
921 1572 9240
562 1268 2995
1861 1958 1189
517 9 5035
716 233 3063
2182 592 1545
1712 686 1057
1067 2201 6557
1283 2064 8673
816 374 1664
269 1683 2308
1407 1342 103
1269 1717 5640
2105 42 3644
796 1936 2894
2044 429 8760
354 773 3542
16 911 9288
152 940 3235
338 1840 7518
672 1392 6429
788 2195 6479
1483 982 4330
757 699 7789
2168 1159 7508
2053 2145 593
398 1461 6727
473 1648 8822
2114 732 3922
1600 1940 7944
1668 483 4031
1363 30 1276
1314 42 1506
773 491 8161
2039 10 880
1992 1259 7610
736 1279 4186
600 945 8575
387 455 4835
814 1123 5658
1212 2003 5457
155 758 5859
1278 1350 6760
622 51 7127
857 1473 2980
309 2036 9759
1347 580 2084
180 805 7195
1459 741 715
266 2013 4738
121 1035 3824
1074 2149 5419
654 818 3190
1163 301 7958
972 167 4425
1784 743 246
2113 1230 5814
269 1805 4156
365 1093 6936
712 1320 9157
551 700 6771
1084 1576 5297
1922 53 694
257 459 8357
1962 772 7681
215 904 7025
1261 474 86
1711 1721 648
906 1042 2183
2026 84 1681
283 1478 6791
1015 240 4658
342 1560 2597
985 1513 2642
256 405 4268
2077 347 9721
445 1784 2679
1392 171 5865
88 990 3122
819 500 5260
1443 458 6388
795 1925 5332
1763 162 3750
1766 844 2476
155 224 1445
1249 171 6318
1908 1993 7240
244 1461 3361
1078 430 3307
1503 1152 2571
453 1534 8488
757 1441 9452
1331 2087 6937
1252 1352 9255
1225 1730 9395
346 859 3442
1474 1392 1426
1357 138 5824
1275 1889 9282
1382 2181 5233
1333 841 1272
1797 1907 7915
156 1569 8200
259 1546 8979
1215 1674 4665
434 274 9884
293 475 7454
1906 76 6327
1984 1086 7695
1834 1854 4503
1154 1468 1909
1790 310 2120
1904 550 2988
622 1700 8698
129 1813 2655
1641 716 3326
653 553 7575
1507 1085 4949
2202 2163 5411
340 854 9353
414 904 1502
1865 1607 4122
272 2038 131
834 1865 8421
980 246 3713
1621 1844 6822
1427 382 9699
1007 1528 8688
109 1456 3904
1986 64 9001
98 1427 577
2158 1680 6303
1496 1877 1866
1058 228 9786
1751 194 2179
1367 1866 5671
1036 630 4154
52 895 7370
87 973 8938
462 1743 8383
245 624 9863
176 1202 3635
732 1543 8873
792 1527 4523
285 125 9455
1940 1752 8625
389 106 6921
2155 1883 8476
1993 2007 7496
249 978 9750
327 522 245
1185 306 7852
1093 114 8012
274 119 7108
1884 1518 4757
923 1451 4446
228 622 999
494 649 7338
118 758 7858
1757 1404 4571
994 1326 2904
304 1033 409
222 1378 2461
249 1231 6656
1224 407 3001
708 1734 4312
1717 1162 7396
2020 1502 8219
926 1992 883
1235 349 9451
1464 1303 810
807 1935 2044
480 1081 4522
1297 460 4874
715 463 6393
688 401 817
1204 1261 6602
425 2178 1861
1985 288 1247
2191 2001 6835
1972 447 7316
1663 1408 9437
1406 1778 5035
1065 1968 9428
797 1316 688
1509 2115 4853
467 1264 1563
2145 1376 7251
931 2131 3239
1021 1656 7087
1879 1401 3595
653 2131 8526
1695 1414 2501
2167 1892 7611
1017 113 7235
1986 1726 2479
421 222 3873
825 109 6482
1009 1440 2006
2131 1322 6938
921 924 4609
927 995 1609
1220 481 8363
887 1554 7003
222 1162 7846
401 1357 9768
1600 1481 9362
1581 1090 7877
815 416 8328
2113 2045 881
1369 1665 9981
243 71 621
646 605 2183
253 541 6757
2198 1604 4288
823 1663 2878
